Altitude (m),Thrust (N),Drag (N),Gravity (N)
0.01,[63639.57394131 63639.57394131],[-63.77959214 -63.77959214],[     0. -24525.]
3.701737083329395,[64454.88923445 62786.47328546],[-72.31093263 -70.43916286],[     0. -24525.]
7.546238303149185,[65225.82424789 61956.51057014],[-81.44278044 -77.36062434],[     0. -24525.]
11.540156122752176,[65956.14063849 61148.27606968],[-91.1819298  -84.53523451],[     0. -24525.]
15.680228905695877,[66649.13753663 60360.50075964],[-101.53464959  -91.95441262],[     0. -24525.]
19.96327587402766,[67307.72552445 59592.03688905],[-112.50671851  -99.60973227],[     0. -24525.]
24.38619255098654,[67934.48622581 58841.84194015],[-124.1034563  -107.49291509],[     0. -24525.]
28.94594662404563,[68531.72076886 58108.9652706 ],[-136.32975183 -115.5958252 ],[     0. -24525.]
33.63957417488635,[69101.48954535 57392.5369019 ],[-149.19008828 -123.9104642 ],[     0. -24525.]
38.46417623147785,[69645.64509283 56691.758041  ],[-162.68856598 -132.42896676],[     0. -24525.]
43.416915604366324,[70165.859491   56005.89301418],[-176.82892325 -141.14359646],[     0. -24525.]
48.49501397492566,[70663.64734386 55334.26236043],[-191.61455536 -150.04674223],[     0. -24525.]
53.695749207957796,[71140.38518107 54676.2368843 ],[-207.04853202 -159.13091495],[     0. -24525.]
59.01645286486737,[71597.32793318 54031.23250776],[-223.1336135  -168.38874438],[     0. -24525.]
64.45450789683048,[72035.62299867 53398.70579202],[-239.87226549 -177.8129764 ],[     0. -24525.]
70.00734650005606,[72456.32231645 52778.15002429],[-257.26667296 -187.39647042],[     0. -24525.]
75.67244811749713,[72860.3927762  52169.09178351],[-275.31875309 -197.13219696],[     0. -24525.]
81.44733757328436,[73248.72523591 51571.08791444],[-294.03016728 -207.01323549],[     0. -24525.]
87.32958332778742,[73622.14236579 50983.72285151],[-313.40233248 -217.0327723 ],[     0. -24525.]
93.3167958426073,[73981.40549858 50406.60624355],[-333.43643181 -227.18409866],[     0. -24525.]
99.40662604600675,[74327.2206345 49839.3708387],[-354.13342457 -237.46060895],[     0. -24525.]
105.59676389032516,[74660.24372377 49281.67059487],[-375.49405569 -247.85579902],[     0. -24525.]
111.884936993827,[74981.08532932 48733.17898691],[-397.5188647  -258.36326453],[     0. -24525.]
118.26890936021833,[75290.31475531 48193.58748548],[-420.20819418 -268.97669952],[     0. -24525.]
124.74648016975351,[75588.46371391 47662.60418683],[-443.5621979  -279.68989489],[     0. -24525.]
131.31548263645644,[75876.02959104 47139.95257511],[-467.58084844 -290.49673711],[     0. -24525.]
137.97378292651138,[76153.47836316 46625.37040197],[-492.26394456 -301.39120686],[     0. -24525.]
144.71927913334673,[76421.24720886 46118.60866975],[-517.61111818 -312.36737785],[     0. -24525.]
151.5499003053497,[76679.74685328 45619.43070687],[-543.6218411  -323.41941554],[     0. -24525.]
158.46360552251798,[76929.36367736 45127.61132519],[-570.2954314  -334.54157605],[     0. -24525.]
165.45838301868284,[77170.46162007 44642.93605055],[-597.63105965 -345.72820503],[     0. -24525.]
172.53224934622975,[77403.38389749 44165.20041888],[-625.62775474 -356.9737366 ],[     0. -24525.]
179.68324858050576,[77628.45455965 43694.20933098],[-654.28440966 -368.27269227],[     0. -24525.]
186.90945156133662,[77845.9799032 43229.7764602],[-683.59978693 -379.61967996],[     0. -24525.]
194.20895516928843,[78056.24975579 42771.72370762],[-713.57252389 -391.00939301],[     0. -24525.]
201.57988163449866,[78259.53864583 42319.88070026],[-744.20113782 -402.43660919],[     0. -24525.]
209.02037787607318,[78456.10686982 41874.08432812],[-775.48403082 -413.89618982],[     0. -24525.]
216.52861487020087,[78646.20146788 41434.17831635],[-807.41949456 -425.38307877],[     0. -24525.]
224.1027870452789,[78830.05711669 41000.01282956],[-840.00571494 -436.89230161],[     0. -24525.]
231.74111170246874,[79007.89694833 40571.44410505],[-873.24077647 -448.4189647 ],[     0. -24525.]
239.44182846021997,[79179.93330211 40148.33411257],[-907.12266661 -459.95825434],[     0. -24525.]
247.2031987214041,[79346.36841597 39730.55023833],[-941.64927992 -471.50543585],[     0. -24525.]
255.0235051617982,[79507.39506323 39317.96499104],[-976.81842216 -483.05585279],[     0. -24525.]
262.9010512387453,[79663.19713974 38910.45572814],[-1012.62781414  -494.60492606],[     0. -24525.]
