Time (s),Altitude (m),Thrust (N),Drag (N),Gravity (N)
0,0.01,[37499.98333334 64951.87641633],[-0. -0.],[     0. -14715.]
1,33.50125094421724,[37444.20612906 64855.26746461],[-37.54827243 -50.30156693],[     0. -14715.]
2,100.38581248688419,[37333.06299182 64662.761904  ],[-148.62445086 -199.0614131 ],[     0. -14715.]
3,200.43617435682165,[37167.42325124 64375.86545757],[-328.83527438 -440.26814992],[     0. -14715.]
4,333.30026776519117,[36948.59372263 63996.84159581],[-571.30533647 -764.51488906],[     0. -14715.]
5,498.50924564472814,[36678.2877851  63528.65797843],[ -867.09300023 -1159.57504764],[     0. -14715.]
6,695.487612144789,[36358.58573721 62974.9177882 ],[-1205.71238072 -1611.1245568 ],[     0. -14715.]
7,923.565174132451,[35991.88843811 62339.77943515],[-1575.71349208 -2103.54385209],[     0. -14715.]
8,1181.990226508824,[35580.86644698 61627.86846349],[-1965.27120837 -2620.73106273],[     0. -14715.]
9,1469.9433704857015,[35128.40689879 60844.18553767],[-2362.73821808 -3146.86418063],[     0. -14715.]
10,1786.5513953672705,[34637.56021903 59994.01414959],[-2757.12624314 -3667.06269692],[     0. -14715.]
11,2130.9007212172887,[34111.48851869 59082.83123617],[-3138.49149231 -4167.91551931],[     0. -14715.]
12,2502.049990878551,[33553.41716575 58116.22329864],[-3498.21260697 -4637.8591082 ],[     0. -14715.]
13,2899.0415033334375,[32966.59064492 57099.80994933],[-3829.16052935 -5067.40532296],[     0. -14715.]
14,3320.9112855392364,[32354.23343281 56039.17614557],[-4125.76862842 -5449.23084616],[     0. -14715.]
15,3766.6976979446436,[31719.51626209 54939.81375745],[-4384.01751379 -5778.14850344],[     0. -14715.]
16,4235.448553852722,[31065.5278458  53807.07259286],[-4601.35224825 -6050.98531821],[     0. -14715.]
17,4726.226801277238,[30395.25189275 52646.1205871 ],[-4776.55051457 -6266.39326573],[     0. -14715.]
18,5238.114866916004,[29711.54906944 51461.91255985],[-4909.5592875  -6424.61724207],[     0. -14715.]
19,5770.217796099953,[29017.14344805 50259.16674254],[-5001.31534755 -6527.24163407],[     0. -14715.]
20,6321.665342022886,[28314.61291736 49042.34816952],[-5053.56213443 -6576.93288273],[     0. -14715.]
21,6891.613164803673,[27606.38301215 47815.65799024],[-5068.67243901 -6577.19122446],[     0. -14715.]
22,7479.24329876165,[26894.72362767 46583.02777865],[-5049.48360258 -6532.12082694],[     0. -14715.]
23,8083.764037354098,[26181.74811881 45348.11797274],[-4999.14942633 -6446.22408503],[     0. -14715.]
24,8704.40937187169,[25469.41433007 44114.31965871],[-4921.01098364 -6324.22302903],[     0. -14715.]
25,9340.438104142402,[24759.5271567  42884.75900678],[-4818.4869854  -6170.90864262],[     0. -14715.]
26,9991.132736655885,[24053.74229251 41662.3037628 ],[-4694.98323689 -5991.0173362 ],[     0. -14715.]
27,10655.798226787101,[23353.57087469 40449.57129312],[-4553.81998253 -5789.13278712],[     0. -14715.]
28,11333.76067592232,[22660.38478522 39248.93776707],[-4398.17548722 -5569.61073802],[     0. -14715.]
29,12024.366009743571,[21975.42241422 38062.54813922],[-4231.04398167 -5336.52404038],[     0. -14715.]
30,12726.978692964049,[21299.79472854 36892.32666062],[-4055.20603911 -5093.62515337],[     0. -14715.]
